company,deal_year,company_type,amt_raised_millions
Accolade (Managed Care),2010,Enabler,16.94
AirStrip Technologies,2010,Enabler,30.0
AltheaDx,2010,Enabler,6.0
Ambra Health,2010,Enabler,11.88
CardioDx,2010,Challenger,35.0
CareCloud Health,2010,Enabler,5.0
Essence Healthcare,2010,Challenger,31.73
InstaMed (Financial Software),2010,Enabler,6.0
InTouch Health,2010,Challenger,10.0
Lineagen,2010,Enabler,6.11
Notal Vision,2010,Enabler,12.9
One Medical (Clinics/Outpatient Services),2010,Challenger,15.0
PatientsLikeMe,2010,Enabler,8.62
Phreesia (NYS: PHR),2010,Enabler,19.78
Rheonix,2010,Challenger,12.6
Verge Health,2010,Enabler,10.1
Zocdoc,2010,Enabler,15.0
23andMe (PINX: MEHCQ),2011,Enabler,31.0
Ambra Health,2011,Enabler,7.5
Analyte Health,2011,Challenger,10.82
Aventura (Automation/Workflow Software),2011,Enabler,10.6
CardioDx,2011,Challenger,60.0
CareCloud Health,2011,Enabler,20.11
Cleveland HeartLab,2011,Challenger,18.35
Essence Healthcare,2011,Challenger,70.0
Glytec,2011,Enabler,8.27
goBalto,2011,Enabler,5.7
Health Catalyst (NAS: HCAT),2011,Enabler,14.35
Healthmine,2011,Enabler,40.0
HealthTap,2011,Challenger,10.4
HeartFlow,2011,Enabler,20.42
Hicuity Health,2011,Challenger,8.0
iLLUME Ai,2011,Enabler,6.4
InstaMed (Financial Software),2011,Enabler,5.5
Iora Health,2011,Challenger,6.25
Kyruus,2011,Enabler,5.5
Life Image,2011,Enabler,19.85
Lineagen,2011,Enabler,5.0
One Medical (Clinics/Outpatient Services),2011,Challenger,20.0
OneMedNet (NAS: ONMD),2011,Enabler,8.0
Perminova,2011,Enabler,3.0
Practice Fusion,2011,Enabler,23.82
Prognos Health,2011,Enabler,7.73
RedBrick Health,2011,Enabler,10.0
Sapphire Digital,2011,Enabler,16.31
Sapphire Digital,2011,Enabler,9.0
Sapphire Digital,2011,Enabler,12.0
Sharecare,2011,Enabler,14.0
Strava,2011,Enabler,12.6
Tebra Technologies,2011,Enabler,10.0
Wellfount,2011,Enabler,6.0
Zocdoc,2011,Enabler,75.0
23andMe (PINX: MEHCQ),2012,Enabler,57.95
ABOUT Healthcare,2012,Enabler,8.03
Accolade (Managed Care),2012,Enabler,7.0
AirStrip Technologies,2012,Enabler,24.9
AirStrip Technologies,2012,Enabler,10.0
Akili Interactive,2012,Challenger,8.5
Ambra Health,2012,Enabler,5.5
Analyte Health,2012,Challenger,8.0
Annai Systems,2012,Enabler,6.86
Apixio,2012,Enabler,5.79
CardioDx,2012,Challenger,88.0
Carena,2012,Enabler,14.0
CareZone,2012,Enabler,12.97
Cleveland HeartLab,2012,Challenger,14.7
ContinuumRX,2012,Enabler,7.0
Evariant,2012,Enabler,7.94
Experity,2012,Enabler,12.0
Ginger,2012,Challenger,6.5
goBalto,2012,Enabler,12.0
InstaMed (Financial Software),2012,Enabler,14.0
MDLive,2012,Challenger,10.29
Modernizing Medicine,2012,Enabler,6.6
PerfectServe,2012,Enabler,11.0
Practice Fusion,2012,Enabler,34.0
Progyny (NAS: PGNY),2012,Enabler,20.0
Radiology Partners,2012,Challenger,60.0
Rheonix,2012,Challenger,6.0
Sharecare,2012,Enabler,68.0
Simplee (Financial Software),2012,Enabler,7.73
TigerConnect,2012,Enabler,10.0
Truveris,2012,Enabler,10.0
Voalte,2012,Enabler,6.0
Accolade (Managed Care),2013,Enabler,30.0
