company	deal_year	company_type	amt_raised_millions
Accolade (Managed Care)	2010	Enabler	16.94
AirStrip Technologies	2010	Enabler	30.00
AltheaDx	2010	Enabler	6.00
Ambra Health	2010	Enabler	11.88
CardioDx	2010	Challenger	35.00
CareCloud Health	2010	Enabler	5.00
Essence Healthcare	2010	Challenger	31.73
InstaMed (Financial Software)	2010	Enabler	6.00
InTouch Health	2010	Challenger	10.00
Lineagen	2010	Enabler	6.11
Notal Vision	2010	Enabler	12.90
One Medical (Clinics/Outpatient Services)	2010	Challenger	15.00
PatientsLikeMe	2010	Enabler	8.62
Phreesia (NYS: PHR)	2010	Enabler	19.78
Rheonix	2010	Challenger	12.60
Verge Health	2010	Enabler	10.10
Zocdoc	2010	Enabler	15.00
23andMe (PINX: MEHCQ)	2011	Enabler	31.00
Ambra Health	2011	Enabler	7.50
Analyte Health	2011	Challenger	10.82
Aventura (Automation/Workflow Software)	2011	Enabler	10.60
CardioDx	2011	Challenger	60.00
CareCloud Health	2011	Enabler	20.11
Cleveland HeartLab	2011	Challenger	18.35
Essence Healthcare	2011	Challenger	70.00
Glytec	2011	Enabler	8.27
goBalto	2011	Enabler	5.70
Health Catalyst (NAS: HCAT)	2011	Enabler	14.35
Healthmine	2011	Enabler	40.00
HealthTap	2011	Challenger	10.40
HeartFlow	2011	Enabler	20.42
Hicuity Health	2011	Challenger	8.00
iLLUME Ai	2011	Enabler	6.40
InstaMed (Financial Software)	2011	Enabler	5.50
Iora Health	2011	Challenger	6.25
Kyruus	2011	Enabler	5.50
Life Image	2011	Enabler	19.85
Lineagen	2011	Enabler	5.00
One Medical (Clinics/Outpatient Services)	2011	Challenger	20.00
OneMedNet (NAS: ONMD)	2011	Enabler	8.00
Perminova	2011	Enabler	3.00
Practice Fusion	2011	Enabler	23.82
Prognos Health	2011	Enabler	7.73
RedBrick Health	2011	Enabler	10.00
Sapphire Digital	2011	Enabler	16.31
Sapphire Digital	2011	Enabler	9.00
Sapphire Digital	2011	Enabler	12.00
Sharecare	2011	Enabler	14.00
Strava	2011	Enabler	12.60
Tebra Technologies	2011	Enabler	10.00
Wellfount	2011	Enabler	6.00
Zocdoc	2011	Enabler	75.00
23andMe (PINX: MEHCQ)	2012	Enabler	57.95
ABOUT Healthcare	2012	Enabler	8.03
Accolade (Managed Care)	2012	Enabler	7.00
AirStrip Technologies	2012	Enabler	24.90
AirStrip Technologies	2012	Enabler	10.00
Akili Interactive	2012	Challenger	8.50
Ambra Health	2012	Enabler	5.50
Analyte Health	2012	Challenger	8.00
Annai Systems	2012	Enabler	6.86
Apixio	2012	Enabler	5.79
CardioDx	2012	Challenger	88.00
Carena	2012	Enabler	14.00
CareZone	2012	Enabler	12.97
Cleveland HeartLab	2012	Challenger	14.70
ContinuumRX	2012	Enabler	7.00
Evariant	2012	Enabler	7.94
Experity	2012	Enabler	12.00
Ginger	2012	Challenger	6.50
goBalto	2012	Enabler	12.00
InstaMed (Financial Software)	2012	Enabler	14.00
MDLive	2012	Challenger	10.29
Modernizing Medicine	2012	Enabler	6.60
PerfectServe	2012	Enabler	11.00
Practice Fusion	2012	Enabler	34.00
Progyny (NAS: PGNY)	2012	Enabler	20.00
Radiology Partners	2012	Challenger	60.00
Rheonix	2012	Challenger	6.00
Sharecare	2012	Enabler	68.00
Simplee (Financial Software)	2012	Enabler	7.73
TigerConnect	2012	Enabler	10.00
Truveris	2012	Enabler	10.00
Voalte	2012	Enabler	6.00
Accolade (Managed Care)	2013	Enabler	30.00
AltheaDx	2013	Enabler	7.25
Atentiv Health	2013	Enabler	8.06
Aventura (Automation/Workflow Software)	2013	Enabler	6.80
Bluesight	2013	Enabler	5.37
CareCloud Health	2013	Enabler	30.00
CellTrak	2013	Enabler	12.00
ClearDATA	2013	Enabler	14.00
Comprehend	2013	Enabler	8.50
ConcertoHealth	2013	Challenger	20.50
Conversio Health	2013	Enabler	14.83
Crossover Health	2013	Challenger	6.49
Cureatr	2013	Enabler	5.78
eHealth Technologies	2013	Enabler	6.00
Elucid	2013	Enabler	6.00
Emids Technologies	2013	Enabler	13.30
Experity	2013	Enabler	11.90
Fabric Genomics	2013	Enabler	6.80
Flatiron	2013	Enabler	8.00
Glooko	2013	Enabler	3.75
Health Catalyst (NAS: HCAT)	2013	Enabler	41.00
Healthmine	2013	Enabler	15.00
HealthSpot	2013	Enabler	10.90
HealthTap	2013	Challenger	24.00
HNI Healthcare	2013	Enabler	9.80
Included Health	2013	Enabler	10.00
Independa	2013	Enabler	4.56
InformedDNA	2013	Enabler	7.72
InTouch Health	2013	Challenger	8.90
Iora Health	2013	Challenger	14.03
Kyruus	2013	Enabler	11.00
Life Image	2013	Enabler	36.58
Lineagen	2013	Enabler	16.26
Lineagen	2013	Enabler	3.88
Maxwell Health	2013	Enabler	6.00
MedCPU	2013	Enabler	8.18
Modernizing Medicine	2013	Enabler	14.00
Olive (Enterprise Systems)	2013	Enabler	5.00
One Medical (Clinics/Outpatient Services)	2013	Challenger	30.00
Oscar Health (NYS: OSCR)	2013	Challenger	51.50
PatientsLikeMe	2013	Enabler	12.00
Phreesia (NYS: PHR)	2013	Enabler	10.00
Prognos Health	2013	Enabler	15.00
RedBrick Health	2013	Enabler	14.00
Rheonix	2013	Challenger	12.00
Sapphire Digital	2013	Enabler	22.00
Simplee (Financial Software)	2013	Enabler	10.00
Strava	2013	Enabler	19.70
US HealthVest	2013	Challenger	36.00
Welltok	2013	Enabler	18.71
AbleTo	2014	Challenger	6.00
AirStrip Technologies	2014	Enabler	25.00
American Well (NYS: AMWL)	2014	Enabler	81.19
Amino Health	2014	Enabler	7.00
Apixio	2014	Enabler	13.50
ArborMetrix	2014	Enabler	7.77
Aspire Health	2014	Challenger	5.50
Atentiv Health	2014	Enabler	8.20
Augmedix	2014	Enabler	7.36
BetterDoctor	2014	Enabler	10.00
Binary Fountain	2014	Enabler	5.70
CardioDx	2014	Challenger	35.00
CareGuardian	2014	Challenger	5.06
CareZone	2014	Enabler	30.00
ClearCare	2014	Enabler	11.00
Cleveland HeartLab	2014	Challenger	6.50
Clinicient	2014	Enabler	15.00
Comprehend	2014	Enabler	21.02
Doctor On Demand	2014	Challenger	21.00
Enlace Health	2014	Enabler	8.50
Evariant	2014	Enabler	18.30
Fabric Genomics	2014	Enabler	
Flatiron	2014	Enabler	130.00
Foodsmart	2014	Enabler	8.50
GeneSight	2014	Challenger	12.50
Ginger	2014	Challenger	20.00
Glooko	2014	Enabler	7.00
goBalto	2014	Enabler	5.00
Health Catalyst (NAS: HCAT)	2014	Enabler	41.00
HealthCare.com	2014	Challenger	9.27
HealthSpot	2014	Enabler	18.32
HeartFlow	2014	Enabler	104.70
Included Health	2014	Enabler	40.00
InstaMed (Financial Software)	2014	Enabler	16.80
Lumeris	2014	Enabler	71.03
Lumiata	2014	Enabler	6.00
Mango Health (Application Software)	2014	Enabler	5.25
Maxwell Health	2014	Enabler	26.37
MD Revolution	2014	Enabler	9.00
MDLive	2014	Challenger	23.60
MedCPU	2014	Enabler	9.30
Newtopia (TSX: NEWU)	2014	Enabler	5.00
Noom	2014	Challenger	7.00
Nuna	2014	Enabler	30.00
Omada (NAS: OMDA)	2014	Challenger	23.00
OmeCare	2014	Challenger	36.00
OmeCare	2014	Challenger	35.00
One Medical (Clinics/Outpatient Services)	2014	Challenger	40.50
OneStudyTeam	2014	Enabler	7.40
OnShift	2014	Enabler	7.10
Oscar Health (NYS: OSCR)	2014	Challenger	30.00
Oscar Health (NYS: OSCR)	2014	Challenger	80.00
Phreesia (NYS: PHR)	2014	Enabler	30.00
PillPack	2014	Challenger	8.75
PipelineRx	2014	Enabler	5.00
Practice Fusion	2014	Enabler	87.95
RedBrick Health	2014	Enabler	7.50
Reflexion Health	2014	Enabler	7.50
Remedy Partners	2014	Enabler	35.20
Sharecare	2014	Enabler	42.28
SHYFT Analytics	2014	Enabler	19.00
Strava	2014	Enabler	18.50
Syapse	2014	Enabler	10.00
Tebra Technologies	2014	Enabler	27.00
TigerConnect	2014	Enabler	21.00
TriNetX	2014	Enabler	13.01
Truveris	2014	Enabler	12.75
Validic	2014	Enabler	5.03
Vertava Health	2014	Challenger	6.00
Vida	2014	Challenger	5.00
Viewics	2014	Enabler	8.00
VisitPay	2014	Enabler	5.00
Voalte	2014	Enabler	36.00
Welldoc	2014	Challenger	20.00
Wellfount	2014	Enabler	30.00
Wellframe	2014	Enabler	8.50
Welltok	2014	Enabler	22.09
Zephyr Health	2014	Enabler	15.00
23andMe (PINX: MEHCQ)	2015	Enabler	115.00
AbleTo	2015	Challenger	12.00
Accolade (Managed Care)	2015	Enabler	22.50
Activate Care	2015	Enabler	8.40
AiCure	2015	Enabler	12.25
Aledade	2015	Enabler	30.00
AltheaDx	2015	Enabler	30.00
Ambra Health	2015	Enabler	6.31
American Well (NYS: AMWL)	2015	Enabler	5.00
Amino Health	2015	Enabler	12.92
Angioinsight	2015	Challenger	
Annai Systems	2015	Enabler	19.00
Antidote	2015	Enabler	6.80
Apervita	2015	Enabler	17.92
Arivale	2015	Enabler	36.00
Aspire Health	2015	Challenger	15.00
Augmedix	2015	Enabler	16.53
Aventura (Automation/Workflow Software)	2015	Enabler	14.00
Benchling	2015	Enabler	5.00
Better Therapeutics	2015	Enabler	6.58
Bluesight	2015	Enabler	12.00
CareCloud Health	2015	Enabler	16.87
Careforth	2015	Challenger	20.00
CareLinx	2015	Challenger	5.24
Carena	2015	Enabler	13.30
CareSync	2015	Enabler	18.00
Castle Biosciences (NAS: CSTL)	2015	Challenger	17.00
Catapult Health	2015	Challenger	8.50
Ceresti Health	2015	Challenger	7.00
Claritas Genomics	2015	Challenger	14.98
ClearDATA	2015	Enabler	25.00
Clinical Ink	2015	Enabler	11.25
CloudMedx	2015	Enabler	6.60
CloudMine	2015	Enabler	7.22
Clover Health Investments (NAS: CLOV)	2015	Challenger	35.00
